player,tm,yr,V1
Wilson Chandler,BRK,2020,Driving Scorer
Marquese Chriss,GSW,2020,Defensive Big Man
Brandon Clarke,MEM,2020,Defensive Big Man
Jordan Clarkson,UTA,2020,Perimeter Wings/Defenders
Chris Clemons,HOU,2020,Driving Scorer
John Collins,ATL,2020,Scoring Big Man
Mike Conley,UTA,2020,Floor Generals
Pat Connaughton,MIL,2020,Driving Scorer
Quinn Cook,LAL,2020,Role Player
Robert Covington,MIN,2020,Perimeter Wings/Defenders
Torrey Craig,DEN,2020,Driving Scorer
Jae Crowder,MEM,2020,Perimeter Wings/Defenders
Jarrett Culver,MIN,2020,Role Player
Seth Curry,DAL,2020,Perimeter Wings/Defenders
Troy Daniels,LAL,2020,Driving Scorer
Anthony Davis,LAL,2020,Scoring Big Man
Terence Davis,TOR,2020,Driving Scorer
Dewayne Dedmon,SAC,2020,Defensive Big Man
Matthew Dellavedova,CLE,2020,Role Player
DeMar DeRozan,SAS,2020,Superstars
Cheick Diallo,PHO,2020,Defensive Big Man
Hamidou Diallo,OKC,2020,Role Player
Gorgui Dieng,MIN,2020,Defensive Big Man
Spencer Dinwiddie,BRK,2020,Superstars
Donte DiVincenzo,MIL,2020,Floor Generals
Luka Dončić,DAL,2020,Superstars
Luguentz Dort,OKC,2020,Role Player
Damyean Dotson,NYK,2020,Driving Scorer
Sekou Doumbouya,DET,2020,Role Player
Goran Dragić,MIA,2020,Floor Generals
Andre Drummond,DET,2020,Scoring Big Man
Jared Dudley,LAL,2020,Driving Scorer
Kris Dunn,CHI,2020,Floor Generals
Carsen Edwards,BOS,2020,Role Player
Wayne Ellington,NYK,2020,Driving Scorer
Joel Embiid,PHI,2020,Scoring Big Man
James Ennis,PHI,2020,Driving Scorer
Derrick Favors,NOP,2020,Defensive Big Man
Terrance Ferguson,OKC,2020,Role Player
Bruno Fernando,ATL,2020,Defensive Big Man
Yogi Ferrell,SAC,2020,Role Player
Dorian Finney-Smith,DAL,2020,Perimeter Wings/Defenders
Bryn Forbes,SAS,2020,Driving Scorer
Evan Fournier,ORL,2020,Perimeter Wings/Defenders
De'Aaron Fox,SAC,2020,Superstars
Markelle Fultz,ORL,2020,Floor Generals
Danilo Gallinari,OKC,2020,Perimeter Wings/Defenders
Langston Galloway,DET,2020,Driving Scorer
Darius Garland,CLE,2020,Floor Generals
Marc Gasol,TOR,2020,Perimeter Wings/Defenders
Rudy Gay,SAS,2020,Perimeter Wings/Defenders
Paul George,LAC,2020,Superstars
Taj Gibson,NYK,2020,Defensive Big Man
Harry Giles,SAC,2020,Defensive Big Man
Shai Gilgeous-Alexander,OKC,2020,Superstars
Brandon Goodwin,ATL,2020,Role Player
Aaron Gordon,ORL,2020,Perimeter Wings/Defenders
Eric Gordon,HOU,2020,Perimeter Wings/Defenders
Devonte' Graham,CHO,2020,Superstars
Treveon Graham,MIN,2020,Role Player
Jerami Grant,DEN,2020,Perimeter Wings/Defenders
Danny Green,LAL,2020,Driving Scorer
Draymond Green,GSW,2020,Floor Generals
JaMychal Green,LAC,2020,Driving Scorer
Javonte Green,BOS,2020,Driving Scorer
Jeff Green,UTA,2020,Driving Scorer
Marko Guduric,MEM,2020,Role Player
Rui Hachimura,WAS,2020,Perimeter Wings/Defenders
Tim Hardaway Jr.,DAL,2020,Perimeter Wings/Defenders
James Harden,HOU,2020,Superstars
Maurice Harkless,LAC,2020,Defensive Big Man
Montrezl Harrell,LAC,2020,Scoring Big Man
Gary Harris,DEN,2020,Floor Generals
Joe Harris,BRK,2020,Perimeter Wings/Defenders
Tobias Harris,PHI,2020,Perimeter Wings/Defenders
Shaquille Harrison,CHI,2020,Driving Scorer
Josh Hart,NOP,2020,Perimeter Wings/Defenders
Jaxson Hayes,NOP,2020,Defensive Big Man
Gordon Hayward,BOS,2020,Perimeter Wings/Defenders
Juan Hernangómez,DEN,2020,Role Player
Willy Hernangómez,CHO,2020,Defensive Big Man
Tyler Herro,MIA,2020,Perimeter Wings/Defenders
Mario Hezonja,POR,2020,Role Player
Buddy Hield,SAC,2020,Perimeter Wings/Defenders
George Hill,MIL,2020,Driving Scorer
Solomon Hill,MEM,2020,Driving Scorer
Aaron Holiday,IND,2020,Floor Generals
Jrue Holiday,NOP,2020,Superstars
Justin Holiday,IND,2020,Driving Scorer
Rondae Hollis-Jefferson,TOR,2020,Defensive Big Man
Al Horford,PHI,2020,Perimeter Wings/Defenders
Danuel House,HOU,2020,Perimeter Wings/Defenders
Dwight Howard,LAL,2020,Defensive Big Man
Kevin Huerter,ATL,2020,Perimeter Wings/Defenders
De'Andre Hunter,ATL,2020,Perimeter Wings/Defenders
Serge Ibaka,TOR,2020,Scoring Big Man
Ersan İlyasova,MIL,2020,Driving Scorer
Joe Ingles,UTA,2020,Floor Generals
Brandon Ingram,NOP,2020,Superstars
Jonathan Isaac,ORL,2020,Scoring Big Man
Wesley Iwundu,ORL,2020,Driving Scorer
Frank Jackson,NOP,2020,Role Player
Jaren Jackson Jr.,MEM,2020,Perimeter Wings/Defenders
Justin Jackson,DAL,2020,Driving Scorer
Justin James,SAC,2020,Role Player
LeBron James,LAL,2020,Superstars
Ty Jerome,PHO,2020,Role Player
Cameron Johnson,PHO,2020,Driving Scorer
Tyler Johnson,PHO,2020,Role Player
Nikola Jokić,DEN,2020,Superstars
Damian Jones,ATL,2020,Defensive Big Man
Derrick Jones Jr.,MIA,2020,Defensive Big Man
Tyus Jones,MEM,2020,Floor Generals
Cory Joseph,SAC,2020,Driving Scorer
Frank Kaminsky,PHO,2020,Driving Scorer
Enes Kanter,BOS,2020,Defensive Big Man
Maxi Kleber,DAL,2020,Perimeter Wings/Defenders
Kevin Knox,NYK,2020,Role Player
Furkan Korkmaz,PHI,2020,Driving Scorer
Luke Kornet,CHI,2020,Driving Scorer
Kyle Korver,MIL,2020,Driving Scorer
Rodions Kurucs,BRK,2020,Driving Scorer
Kyle Kuzma,LAL,2020,Perimeter Wings/Defenders
Skal Labissière,POR,2020,Defensive Big Man
Jeremy Lamb,IND,2020,Perimeter Wings/Defenders
Romeo Langford,BOS,2020,Role Player
Zach LaVine,CHI,2020,Superstars
Damion Lee,GSW,2020,Perimeter Wings/Defenders
Alex Len,ATL,2020,Defensive Big Man
Kawhi Leonard,LAC,2020,Superstars
Meyers Leonard,MIA,2020,Defensive Big Man
Caris LeVert,BRK,2020,Floor Generals
Damian Lillard,POR,2020,Superstars
Nassir Little,POR,2020,Role Player
Brook Lopez,MIL,2020,Perimeter Wings/Defenders
Robin Lopez,MIL,2020,Defensive Big Man
Kevin Love,CLE,2020,Perimeter Wings/Defenders
Kyle Lowry,TOR,2020,Superstars
Timothé Luwawu-Cabarrot,BRK,2020,Driving Scorer
Trey Lyles,SAS,2020,Driving Scorer
Ian Mahinmi,WAS,2020,Defensive Big Man
Thon Maker,DET,2020,Defensive Big Man
Terance Mann,LAC,2020,Role Player
Boban Marjanović,DAL,2020,Defensive Big Man
Lauri Markkanen,CHI,2020,Perimeter Wings/Defenders
Cody Martin,CHO,2020,Role Player
Kelan Martin,MIN,2020,Driving Scorer
Wesley Matthews,MIL,2020,Driving Scorer
Patrick McCaw,TOR,2020,Role Player
CJ McCollum,POR,2020,Perimeter Wings/Defenders
T.J. McConnell,IND,2020,Floor Generals
Doug McDermott,IND,2020,Driving Scorer
JaVale McGee,LAL,2020,Defensive Big Man
Rodney McGruder,LAC,2020,Role Player
Alfonzo McKinnie,CLE,2020,Role Player
Jordan McLaughlin,MIN,2020,Floor Generals
Ben McLemore,HOU,2020,Driving Scorer
Nicolò Melli,NOP,2020,Driving Scorer
De'Anthony Melton,MEM,2020,Floor Generals
Khris Middleton,MIL,2020,Superstars
Patty Mills,SAS,2020,Driving Scorer
Paul Millsap,DEN,2020,Perimeter Wings/Defenders
Shake Milton,PHI,2020,Driving Scorer
Donovan Mitchell,UTA,2020,Superstars
Malik Monk,CHO,2020,Driving Scorer
E'Twaun Moore,NOP,2020,Driving Scorer
Ja Morant,MEM,2020,Superstars
Marcus Morris,NYK,2020,Perimeter Wings/Defenders
Markieff Morris,DET,2020,Perimeter Wings/Defenders
Monte Morris,DEN,2020,Driving Scorer
Emmanuel Mudiay,UTA,2020,Driving Scorer
Dejounte Murray,SAS,2020,Floor Generals
Jamal Murray,DEN,2020,Perimeter Wings/Defenders
Džanan Musa,BRK,2020,Role Player
Mike Muscala,OKC,2020,Driving Scorer
Sviatoslav Mykhailiuk,DET,2020,Driving Scorer
Abdel Nader,OKC,2020,Driving Scorer
Larry Nance Jr.,CLE,2020,Defensive Big Man
Shabazz Napier,MIN,2020,Floor Generals
Raul Neto,PHI,2020,Driving Scorer
Georges Niang,UTA,2020,Driving Scorer
Nerlens Noel,OKC,2020,Defensive Big Man
Frank Ntilikina,NYK,2020,Role Player
Kendrick Nunn,MIA,2020,Perimeter Wings/Defenders
Royce O'Neale,UTA,2020,Driving Scorer
Semi Ojeleye,BOS,2020,Driving Scorer
Jahlil Okafor,NOP,2020,Defensive Big Man
Elie Okobo,PHO,2020,Role Player
Josh Okogie,MIN,2020,Floor Generals
Kelly Olynyk,MIA,2020,Driving Scorer
Cedi Osman,CLE,2020,Perimeter Wings/Defenders
Kelly Oubre Jr.,PHO,2020,Perimeter Wings/Defenders
Jabari Parker,ATL,2020,Perimeter Wings/Defenders
Eric Paschall,GSW,2020,Perimeter Wings/Defenders
Patrick Patterson,LAC,2020,Driving Scorer
Chris Paul,OKC,2020,Superstars
Elfrid Payton,NYK,2020,Floor Generals
Theo Pinson,BRK,2020,Role Player
Mason Plumlee,DEN,2020,Defensive Big Man
Jordan Poole,GSW,2020,Role Player
Kevin Porter Jr.,CLE,2020,Floor Generals
Michael Porter Jr.,DEN,2020,Defensive Big Man
Bobby Portis,NYK,2020,Perimeter Wings/Defenders
Kristaps Porziņģis,DAL,2020,Scoring Big Man
Dwight Powell,DAL,2020,Defensive Big Man
Norman Powell,TOR,2020,Perimeter Wings/Defenders
Taurean Prince,BRK,2020,Perimeter Wings/Defenders
Julius Randle,NYK,2020,Scoring Big Man
Cam Reddish,ATL,2020,Floor Generals
J.J. Redick,NOP,2020,Perimeter Wings/Defenders
Naz Reid,MIN,2020,Driving Scorer
Josh Richardson,PHI,2020,Perimeter Wings/Defenders
Austin Rivers,HOU,2020,Driving Scorer
Duncan Robinson,MIA,2020,Perimeter Wings/Defenders
Glenn Robinson III,GSW,2020,Perimeter Wings/Defenders
Jerome Robinson,LAC,2020,Role Player
Rajon Rondo,LAL,2020,Floor Generals
Derrick Rose,DET,2020,Superstars
Terrence Ross,ORL,2020,Perimeter Wings/Defenders
Terry Rozier,CHO,2020,Perimeter Wings/Defenders
Ricky Rubio,PHO,2020,Floor Generals
D'Angelo Russell,GSW,2020,Superstars
Domantas Sabonis,IND,2020,Scoring Big Man
JaKarr Sampson,IND,2020,Defensive Big Man
Dario Šarić,PHO,2020,Perimeter Wings/Defenders
Tomáš Satoranský,CHI,2020,Floor Generals
Admiral Schofield,WAS,2020,Role Player
Dennis Schröder,OKC,2020,Perimeter Wings/Defenders
Mike Scott,PHI,2020,Driving Scorer
Thabo Sefolosha,HOU,2020,Role Player
Collin Sexton,CLE,2020,Perimeter Wings/Defenders
Landry Shamet,LAC,2020,Driving Scorer
Pascal Siakam,TOR,2020,Superstars
Chris Silva,MIA,2020,Defensive Big Man
Ben Simmons,PHI,2020,Superstars
Anfernee Simons,POR,2020,Driving Scorer
Marcus Smart,BOS,2020,Floor Generals
Dennis Smith Jr.,NYK,2020,Role Player
Ish Smith,WAS,2020,Floor Generals
Tony Snell,DET,2020,Driving Scorer
Omari Spellman,GSW,2020,Driving Scorer
Edmond Sumner,IND,2020,Role Player
Jayson Tatum,BOS,2020,Superstars
Jeff Teague,MIN,2020,Floor Generals
Garrett Temple,BRK,2020,Driving Scorer
Daniel Theis,BOS,2020,Defensive Big Man
Isaiah Thomas,WAS,2020,Floor Generals
Matt Thomas,TOR,2020,Driving Scorer
Tristan Thompson,CLE,2020,Scoring Big Man
Matisse Thybulle,PHI,2020,Driving Scorer
Anthony Tolliver,POR,2020,Role Player
Karl-Anthony Towns,MIN,2020,Scoring Big Man
Gary Trent Jr.,POR,2020,Driving Scorer
P.J. Tucker,HOU,2020,Perimeter Wings/Defenders
Myles Turner,IND,2020,Scoring Big Man
Jonas Valančiūnas,MEM,2020,Scoring Big Man
Denzel Valentine,CHI,2020,Driving Scorer
Fred VanVleet,TOR,2020,Superstars
Nikola Vučević,ORL,2020,Scoring Big Man
Moritz Wagner,WAS,2020,Defensive Big Man
Kemba Walker,BOS,2020,Superstars
Lonnie Walker,SAS,2020,Role Player
Brad Wanamaker,BOS,2020,Floor Generals
T.J. Warren,IND,2020,Perimeter Wings/Defenders
P.J. Washington,CHO,2020,Perimeter Wings/Defenders
Russell Westbrook,HOU,2020,Superstars
Coby White,CHI,2020,Perimeter Wings/Defenders
Derrick White,SAS,2020,Perimeter Wings/Defenders
Hassan Whiteside,POR,2020,Scoring Big Man
Andrew Wiggins,MIN,2020,Superstars
Grant Williams,BOS,2020,Role Player
Kenrich Williams,NOP,2020,Role Player
Lou Williams,LAC,2020,Superstars
Marvin Williams,CHO,2020,Driving Scorer
D.J. Wilson,MIL,2020,Role Player
Christian Wood,DET,2020,Scoring Big Man
Delon Wright,DAL,2020,Floor Generals
Thaddeus Young,CHI,2020,Floor Generals
Trae Young,ATL,2020,Superstars
Cody Zeller,CHO,2020,Defensive Big Man
Ivica Zubac,LAC,2020,Defensive Big Man
Precious Achiuwa,MIA,2021,Defensive Big Man
Steven Adams,NOP,2021,Defensive Big Man
Bam Adebayo,MIA,2021,Scoring Big Man
Nickeil Alexander-Walker,NOP,2021,Floor Generals
Grayson Allen,MEM,2021,Driving Scorer
Jarrett Allen,CLE,2021,Scoring Big Man
Kyle Anderson,MEM,2021,Perimeter Wings/Defenders
Giannis Antetokounmpo,MIL,2021,Scoring Big Man
Thanasis Antetokounmpo,MIL,2021,Role Player
Carmelo Anthony,POR,2021,Perimeter Wings/Defenders
Cole Anthony,ORL,2021,Floor Generals
OG Anunoby,TOR,2021,Perimeter Wings/Defenders
Ryan Arcidiacono,CHI,2021,Driving Scorer
Trevor Ariza,MIA,2021,Perimeter Wings/Defenders
D.J. Augustin,MIL,2021,Driving Scorer
Deni Avdija,WAS,2021,Driving Scorer
Deandre Ayton,PHO,2021,Scoring Big Man
Dwayne Bacon,ORL,2021,Role Player
Marvin Bagley III,SAC,2021,Defensive Big Man
LaMelo Ball,CHO,2021,Superstars
Lonzo Ball,NOP,2021,Perimeter Wings/Defenders
Mo Bamba,ORL,2021,Defensive Big Man
Desmond Bane,MEM,2021,Driving Scorer
Harrison Barnes,SAC,2021,Perimeter Wings/Defenders
RJ Barrett,NYK,2021,Perimeter Wings/Defenders
Will Barton,DEN,2021,Perimeter Wings/Defenders
Keita Bates-Diop,SAS,2021,Role Player
Nicolas Batum,LAC,2021,Driving Scorer
Aron Baynes,TOR,2021,Defensive Big Man
Kent Bazemore,GSW,2021,Driving Scorer
Darius Bazley,OKC,2021,Perimeter Wings/Defenders
Bradley Beal,WAS,2021,Superstars
Malik Beasley,MIN,2021,Perimeter Wings/Defenders
DeAndre' Bembry,TOR,2021,Defensive Big Man
Dāvis Bertāns,WAS,2021,Driving Scorer
Patrick Beverley,LAC,2021,Driving Scorer
Saddiq Bey,DET,2021,Perimeter Wings/Defenders
Khem Birch,ORL,2021,Defensive Big Man
Goga Bitadze,IND,2021,Defensive Big Man
Bismack Biyombo,CHO,2021,Defensive Big Man
Eric Bledsoe,NOP,2021,Floor Generals
Bogdan Bogdanović,ATL,2021,Perimeter Wings/Defenders
Bojan Bogdanović,UTA,2021,Perimeter Wings/Defenders
Bol Bol,DEN,2021,Role Player
Isaac Bonga,WAS,2021,Role Player
Devin Booker,PHO,2021,Superstars
Chris Boucher,TOR,2021,Scoring Big Man
Mikal Bridges,PHO,2021,Perimeter Wings/Defenders
Miles Bridges,CHO,2021,Perimeter Wings/Defenders
Malcolm Brogdon,IND,2021,Superstars
Dillon Brooks,MEM,2021,Perimeter Wings/Defenders
Bruce Brown,BRK,2021,Defensive Big Man
Jaylen Brown,BOS,2021,Superstars
Sterling Brown,HOU,2021,Driving Scorer
Jalen Brunson,DAL,2021,Perimeter Wings/Defenders
Reggie Bullock,NYK,2021,Perimeter Wings/Defenders
Trey Burke,DAL,2021,Driving Scorer
Alec Burks,NYK,2021,Perimeter Wings/Defenders
Jimmy Butler,MIA,2021,Superstars
Kentavious Caldwell-Pope,LAL,2021,Driving Scorer
Facundo Campazzo,DEN,2021,Floor Generals
Vlatko Čančar,DEN,2021,Role Player
Jevon Carter,PHO,2021,Driving Scorer
Wendell Carter Jr.,CHI,2021,Defensive Big Man
Michael Carter-Williams,ORL,2021,Floor Generals
Alex Caruso,LAL,2021,Floor Generals
Willie Cauley-Stein,DAL,2021,Defensive Big Man
Gary Clark,ORL,2021,Role Player
Brandon Clarke,MEM,2021,Defensive Big Man
Jordan Clarkson,UTA,2021,Perimeter Wings/Defenders
Nicolas Claxton,BRK,2021,Defensive Big Man
Amir Coffey,LAC,2021,Driving Scorer
John Collins,ATL,2021,Scoring Big Man
Mike Conley,UTA,2021,Superstars
Pat Connaughton,MIL,2021,Driving Scorer
Robert Covington,POR,2021,Perimeter Wings/Defenders
Torrey Craig,PHO,2021,Defensive Big Man
Jae Crowder,PHO,2021,Perimeter Wings/Defenders
Jarrett Culver,MIN,2021,Role Player
Seth Curry,PHI,2021,Perimeter Wings/Defenders
Stephen Curry,GSW,2021,Superstars
Anthony Davis,LAL,2021,Scoring Big Man
Terence Davis,TOR,2021,Driving Scorer
DeMar DeRozan,SAS,2021,Superstars
Hamidou Diallo,OKC,2021,Floor Generals
Donte DiVincenzo,MIL,2021,Perimeter Wings/Defenders
Luka Dončić,DAL,2021,Superstars
Luguentz Dort,OKC,2021,Perimeter Wings/Defenders
Damyean Dotson,CLE,2021,Role Player
Sekou Doumbouya,DET,2021,Role Player
PJ Dozier,DEN,2021,Driving Scorer
Goran Dragić,MIA,2021,Floor Generals
Kevin Durant,BRK,2021,Superstars
Anthony Edwards,MIN,2021,Perimeter Wings/Defenders
Carsen Edwards,BOS,2021,Driving Scorer
CJ Elleby,POR,2021,Role Player
Wayne Ellington,DET,2021,Driving Scorer
Joel Embiid,PHI,2021,Scoring Big Man
James Ennis,ORL,2021,Driving Scorer
Drew Eubanks,SAS,2021,Defensive Big Man
Derrick Favors,UTA,2021,Defensive Big Man
Bruno Fernando,ATL,2021,Role Player
Dorian Finney-Smith,DAL,2021,Perimeter Wings/Defenders
Malachi Flynn,TOR,2021,Role Player
Bryn Forbes,MIL,2021,Driving Scorer
Trent Forrest,UTA,2021,Role Player
De'Aaron Fox,SAC,2021,Superstars
Danilo Gallinari,ATL,2021,Perimeter Wings/Defenders
Langston Galloway,PHO,2021,Driving Scorer
Darius Garland,CLE,2021,Floor Generals
Marc Gasol,LAL,2021,Defensive Big Man
Rudy Gay,SAS,2021,Perimeter Wings/Defenders
Paul George,LAC,2021,Superstars
Taj Gibson,NYK,2021,Defensive Big Man
Harry Giles,POR,2021,Defensive Big Man
Shai Gilgeous-Alexander,OKC,2021,Superstars
Rudy Gobert,UTA,2021,Scoring Big Man
Brandon Goodwin,ATL,2021,Role Player
Devonte' Graham,CHO,2021,Perimeter Wings/Defenders
Jerami Grant,DET,2021,Superstars
Danny Green,PHI,2021,Perimeter Wings/Defenders
Draymond Green,GSW,2021,Floor Generals
JaMychal Green,DEN,2021,Driving Scorer
Jeff Green,BRK,2021,Driving Scorer
Josh Green,DAL,2021,Role Player
Kyle Guy,SAC,2021,Role Player
Rui Hachimura,WAS,2021,Perimeter Wings/Defenders
Tyrese Haliburton,SAC,2021,Perimeter Wings/Defenders
Tim Hardaway Jr.,DAL,2021,Perimeter Wings/Defenders
James Harden,BRK,2021,Superstars
Montrezl Harrell,LAL,2021,Scoring Big Man
Joe Harris,BRK,2021,Perimeter Wings/Defenders
Tobias Harris,PHI,2021,Superstars
Josh Hart,NOP,2021,Perimeter Wings/Defenders
Jaxson Hayes,NOP,2021,Defensive Big Man
Gordon Hayward,CHO,2021,Superstars
Juan Hernangómez,MIN,2021,Driving Scorer
Willy Hernangómez,NOP,2021,Defensive Big Man
Tyler Herro,MIA,2021,Perimeter Wings/Defenders
Buddy Hield,SAC,2021,Perimeter Wings/Defenders
Solomon Hill,ATL,2021,Role Player
Aaron Holiday,IND,2021,Role Player
Jrue Holiday,MIL,2021,Superstars
Justin Holiday,IND,2021,Perimeter Wings/Defenders
Richaun Holmes,SAC,2021,Scoring Big Man
Rodney Hood,POR,2021,Role Player
Talen Horton-Tucker,LAL,2021,Floor Generals
Danuel House,HOU,2021,Driving Scorer
Dwight Howard,PHI,2021,Defensive Big Man
Markus Howard,DEN,2021,Role Player
Kevin Huerter,ATL,2021,Perimeter Wings/Defenders
Serge Ibaka,LAC,2021,Defensive Big Man
Andre Iguodala,MIA,2021,Driving Scorer
Joe Ingles,UTA,2021,Perimeter Wings/Defenders
Brandon Ingram,NOP,2021,Superstars
Kyrie Irving,BRK,2021,Superstars
Frank Jackson,DET,2021,Driving Scorer
Josh Jackson,DET,2021,Floor Generals
Justin Jackson,OKC,2021,Driving Scorer
Reggie Jackson,LAC,2021,Driving Scorer
Justin James,SAC,2021,Role Player
LeBron James,LAL,2021,Superstars
Ty Jerome,OKC,2021,Driving Scorer
Isaiah Joe,PHI,2021,Role Player
Cameron Johnson,PHO,2021,Driving Scorer
Keldon Johnson,SAS,2021,Perimeter Wings/Defenders
Stanley Johnson,TOR,2021,Role Player
Tyler Johnson,BRK,2021,Driving Scorer
Nikola Jokić,DEN,2021,Superstars
Derrick Jones Jr.,POR,2021,Defensive Big Man
Tre Jones,SAS,2021,Role Player
Tyus Jones,MEM,2021,Driving Scorer
DeAndre Jordan,BRK,2021,Defensive Big Man
Cory Joseph,SAC,2021,Driving Scorer
Frank Kaminsky,PHO,2021,Defensive Big Man
Enes Kanter,POR,2021,Scoring Big Man
Luke Kennard,LAC,2021,Driving Scorer
Maxi Kleber,DAL,2021,Driving Scorer
Nathan Knight,ATL,2021,Role Player
Kevin Knox,NYK,2021,Driving Scorer
John Konchar,MEM,2021,Driving Scorer
Furkan Korkmaz,PHI,2021,Driving Scorer
Kyle Kuzma,LAL,2021,Perimeter Wings/Defenders
Jeremy Lamb,IND,2021,Perimeter Wings/Defenders
Zach LaVine,CHI,2021,Superstars
Jake Layman,MIN,2021,Driving Scorer
Damion Lee,GSW,2021,Driving Scorer
Saben Lee,DET,2021,Floor Generals
Alex Len,WAS,2021,Defensive Big Man
Kawhi Leonard,LAC,2021,Superstars
Caris LeVert,IND,2021,Superstars
Kira Lewis Jr.,NOP,2021,Role Player
Damian Lillard,POR,2021,Superstars
Nassir Little,POR,2021,Driving Scorer
Kevon Looney,GSW,2021,Defensive Big Man
Brook Lopez,MIL,2021,Perimeter Wings/Defenders
Robin Lopez,WAS,2021,Defensive Big Man
Kyle Lowry,TOR,2021,Superstars
Timothé Luwawu-Cabarrot,BRK,2021,Role Player
Théo Maledon,OKC,2021,Floor Generals
Terance Mann,LAC,2021,Driving Scorer
Nico Mannion,GSW,2021,Role Player
Boban Marjanović,DAL,2021,Defensive Big Man
Lauri Markkanen,CHI,2021,Perimeter Wings/Defenders
Naji Marshall,NOP,2021,Floor Generals
Caleb Martin,CHO,2021,Role Player
Cody Martin,CHO,2021,Role Player
Kelan Martin,IND,2021,Driving Scorer
Kenyon Martin Jr.,HOU,2021,Defensive Big Man
Garrison Mathews,WAS,2021,Driving Scorer
Wesley Matthews,LAL,2021,Driving Scorer
Tyrese Maxey,PHI,2021,Driving Scorer
Skylar Mays,ATL,2021,Driving Scorer
CJ McCollum,POR,2021,Perimeter Wings/Defenders
T.J. McConnell,IND,2021,Floor Generals
Jaden McDaniels,MIN,2021,Driving Scorer
Jalen McDaniels,CHO,2021,Driving Scorer
Doug McDermott,IND,2021,Perimeter Wings/Defenders
JaVale McGee,CLE,2021,Defensive Big Man
Alfonzo McKinnie,LAL,2021,Driving Scorer
Jordan McLaughlin,MIN,2021,Role Player
Ben McLemore,HOU,2021,Role Player
De'Anthony Melton,MEM,2021,Driving Scorer
Sam Merrill,MIL,2021,Driving Scorer
Chimezie Metu,SAC,2021,Defensive Big Man
Khris Middleton,MIL,2021,Superstars
Patty Mills,SAS,2021,Driving Scorer
Paul Millsap,DEN,2021,Defensive Big Man
Shake Milton,PHI,2021,Floor Generals
Donovan Mitchell,UTA,2021,Superstars
Malik Monk,CHO,2021,Driving Scorer
Ja Morant,MEM,2021,Superstars
Marcus Morris,LAC,2021,Perimeter Wings/Defenders
Markieff Morris,LAL,2021,Driving Scorer
Monte Morris,DEN,2021,Driving Scorer
Mychal Mulder,GSW,2021,Driving Scorer
Dejounte Murray,SAS,2021,Perimeter Wings/Defenders
Jamal Murray,DEN,2021,Superstars
Mike Muscala,OKC,2021,Driving Scorer
Sviatoslav Mykhailiuk,DET,2021,Driving Scorer
Sviatoslav Mykhailiuk,OKC,2021,Driving Scorer
Larry Nance Jr.,CLE,2021,Floor Generals
Aaron Nesmith,BOS,2021,Driving Scorer
Raul Neto,WAS,2021,Driving Scorer
Georges Niang,UTA,2021,Driving Scorer
Zeke Nnaji,DEN,2021,Driving Scorer
Nerlens Noel,NYK,2021,Defensive Big Man
Jaylen Nowell,MIN,2021,Driving Scorer
Frank Ntilikina,NYK,2021,Role Player
Kendrick Nunn,MIA,2021,Perimeter Wings/Defenders
Jusuf Nurkić,POR,2021,Scoring Big Man
David Nwaba,HOU,2021,Defensive Big Man
Jordan Nwora,MIL,2021,Driving Scorer
Royce O'Neale,UTA,2021,Perimeter Wings/Defenders
Semi Ojeleye,BOS,2021,Driving Scorer
Chuma Okeke,ORL,2021,Driving Scorer
Josh Okogie,MIN,2021,Role Player
Onyeka Okongwu,ATL,2021,Defensive Big Man
Isaac Okoro,CLE,2021,Floor Generals
KZ Okpala,MIA,2021,Role Player
Kelly Olynyk,MIA,2021,Perimeter Wings/Defenders
Miye Oni,UTA,2021,Role Player
Cedi Osman,CLE,2021,Floor Generals
Daniel Oturu,LAC,2021,Role Player
Kelly Oubre Jr.,GSW,2021,Perimeter Wings/Defenders
Eric Paschall,GSW,2021,Driving Scorer
Patrick Patterson,LAC,2021,Driving Scorer
Chris Paul,PHO,2021,Superstars
Cameron Payne,PHO,2021,Driving Scorer
Elfrid Payton,NYK,2021,Floor Generals
Mason Plumlee,DET,2021,Scoring Big Man
Aleksej Pokusevski,OKC,2021,Role Player
Jordan Poole,GSW,2021,Driving Scorer
Michael Porter Jr.,DEN,2021,Perimeter Wings/Defenders
Bobby Portis,MIL,2021,Defensive Big Man
Kristaps Porziņģis,DAL,2021,Scoring Big Man
Dwight Powell,DAL,2021,Defensive Big Man
Norman Powell,TOR,2021,Perimeter Wings/Defenders
Payton Pritchard,BOS,2021,Driving Scorer
Immanuel Quickley,NYK,2021,Driving Scorer
Chasson Randle,ORL,2021,Role Player
Julius Randle,NYK,2021,Superstars
J.J. Redick,NOP,2021,Driving Scorer
Naz Reid,MIN,2021,Defensive Big Man
Josh Richardson,DAL,2021,Perimeter Wings/Defenders
Duncan Robinson,MIA,2021,Perimeter Wings/Defenders
Isaiah Roby,OKC,2021,Defensive Big Man
Derrick Rose,NYK,2021,Perimeter Wings/Defenders
Terrence Ross,ORL,2021,Perimeter Wings/Defenders
Terry Rozier,CHO,2021,Perimeter Wings/Defenders
Ricky Rubio,MIN,2021,Floor Generals
D'Angelo Russell,MIN,2021,Superstars
Domantas Sabonis,IND,2021,Scoring Big Man
Luka Šamanić,SAS,2021,Role Player
Dario Šarić,PHO,2021,Driving Scorer
