player,tm,POS.,AGE,EXP,TYPE,RIGHTS,2020-2021 AAV
Keita Bates-Diop,SAS,SF,25,3,RFA,Non-Bird,-
Saben Lee,DET,PG,22,1,RFA,Non-Bird,-
Tyler Bey,DAL,SG,23,1,RFA,Non-Bird,-
Markus Howard,DEN,PG,22,1,RFA,Non-Bird,-
Max Strus,MIA,SG,25,2,RFA,Non-Bird,-
Grant Riller,CHA,PG,24,1,RFA,Non-Bird,-
Nate Darling,CHA,SG,23,1,RFA,Non-Bird,-
Jeremiah Martin,CLE,G,25,2,RFA,Non-Bird,-
Kyle Guy,SAC,SG,24,2,RFA,Early Bird,-
Amir Coffey,LAC,SG,24,2,RFA,Early Bird,-
Jaylen Hoard,OKC,F,22,1,RFA,Non-Bird,-
Josh Hall,OKC,SF,20,1,RFA,Non-Bird,-
Kostas Antetokounmpo,LAL,PF,23,2,RFA,Bird,-
Devontae Cacok,LAL,C,24,2,RFA,Early Bird,-
Nico Mannion,GSW,PG,20,1,RFA,Non-Bird,-
Axel Toupane,MIL,SG,29,3,RFA,Non-Bird,-
Gary Clark,PHI,PF,26,3,RFA,Non-Bird,-
Rick Carlisle,DAL,COA,,0,UFA,,-
Louis King,SAC,SF,22,2,RFA,Non-Bird,-
Chasson Randle,ORL,PG,28,4,UFA,Non-Bird,-
Rayjon Tucker,PHI,SF,24,2,RFA,,-
Adam Mokoka,CHI,SG,23,2,RFA,Early Bird,-
Frank Mason III,ORL,PG,27,3,UFA,,-
Brodric Thomas,CLE,G,,1,RFA,,-
Tacko Fall,BOS,C,25,2,RFA,Early Bird,-
Tremont Waters,BOS,PG,23,2,RFA,Early Bird,-
James Nunnally,NOP,SF,31,2,RFA,,-
Keljin Blevins,POR,G,25,1,RFA,Non-Bird,-
Trent Forrest,UTH,SG,23,1,RFA,Non-Bird,-
Cassius Stanley,IND,SG,22,1,RFA,Non-Bird,-
Jalen Harris,TOR,PG,23,1,RFA,Non-Bird,-
Jordan McLaughlin,MIN,PG,25,2,RFA,Early Bird,-
Anthony Lamb,HOU,SF,23,1,RFA,,-
TJ Leaf,POR,PF,24,4,UFA,Non-Bird,-
Chris Chiozza,BKN,PG,25,3,RFA,Non-Bird,-
Frank Jackson,DET,PG,23,4,UFA,Non-Bird,-
Killian Tillie,MEM,PF,23,1,RFA,Non-Bird,-
Nathan Knight,ATL,PF,24,1,RFA,Non-Bird,-
Cassius Winston,WAS,PG,23,1,RFA,Non-Bird,-
Justin Jackson,MIL,SF,26,4,UFA,Non-Bird,-
Nate Hinton,DAL,SG,22,1,RFA,Non-Bird,-
Gabe Vincent,MIA,PG,25,2,RFA,Early Bird,-
Devon Dotson,CHI,PG,22,1,RFA,Non-Bird,-
Garrison Mathews,WAS,SG,24,2,RFA,Early Bird,-
Quinndary Weatherspoon,SAS,SG,25,2,RFA,Early Bird,-
Armoni Brooks,HOU,SG,23,1,RFA,Non-Bird,-
