Rk,Player,Tm,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,Signed Using,Guaranteed
1,Stephen Curry,GSW,"$43,006,362 ","$45,780,966 ",,,,,Bird Rights,"$88,787,328 "
2,Russell Westbrook,WAS,"$41,358,814 ","$44,211,146 ","$47,063,478 ",,,,Bird Rights,"$85,569,960 "
3,Chris Paul,PHO,"$41,358,814 ","$44,211,146 ",,,,,Bird Rights,"$41,358,814 "
4,John Wall,HOU,"$41,254,920 ","$44,310,840 ","$47,366,760 ",,,,Bird Rights,"$85,565,760 "
5,James Harden,BRK,"$40,824,000 ","$43,848,000 ","$46,872,000 ",,,,Bird Rights,"$84,672,000 "
6,LeBron James,LAL,"$39,219,565 ","$41,180,544 ","$44,474,988 ",,,,Cap Space,"$124,875,097 "
7,Kevin Durant,BRK,"$39,058,950 ","$40,918,900 ","$42,778,850 ",,,,Sign and Trade,"$79,977,850 "
8,Paul George,LAC,"$35,450,412 ","$39,344,970 ","$42,492,568 ","$45,640,165 ","$48,787,763 ",,Maximum Salary,"$162,928,115 "
9,Klay Thompson,GSW,"$35,361,360 ","$37,980,720 ","$40,600,080 ","$43,219,440 ",,,Bird Rights,"$157,161,600 "
10,Mike Conley,UTA,"$34,504,132 ",,,,,,Cap Space,"$34,504,132 "
11,Jimmy Butler,MIA,"$34,379,100 ","$36,016,200 ","$37,653,300 ",,,,Sign and Trade,"$70,395,300 "
12,Kemba Walker,BOS,"$34,379,100 ","$36,016,200 ","$37,653,300 ",,,,Sign and Trade,"$70,395,300 "
13,Kawhi Leonard,LAC,"$34,379,100 ","$36,016,200 ",,,,,Cap Space,"$34,379,100 "
14,Tobias Harris,PHI,"$33,517,241 ","$36,000,000 ","$38,482,759 ","$40,965,517 ",,,Bird Rights,"$148,965,517 "
15,Kyrie Irving,BRK,"$33,329,100 ","$34,916,200 ","$36,503,300 ",,,,Cap space,"$104,748,600 "
16,Khris Middleton,MIL,"$33,051,724 ","$35,500,000 ","$37,948,276 ","$40,396,552 ",,,Bird Rights,"$106,500,000 "
17,Anthony Davis,LAL,"$32,742,000 ","$35,361,360 ","$37,980,720 ","$40,600,080 ","$43,219,440 ",,Bird,"$146,684,160 "
18,Blake Griffin,DET,"$33,685,241 ","$29,764,126 ",,,,,,"$62,219,691 "
19,Damian Lillard,POR,"$31,626,953 ","$43,750,000 ","$47,250,000 ","$50,750,000 ","$54,250,000 ",,1st Round Pick,"$227,626,953 "
20,Kevin Love,CLE,"$31,300,000 ","$31,300,000 ","$28,900,000 ",,,,Bird Rights,"$91,500,000 "
21,Kyle Lowry,TOR,"$30,000,000 ",,,,,,Bird Rights,"$30,000,000 "
22,Joel Embiid,PHI,"$29,542,010 ","$31,579,390 ","$33,616,770 ",,,,1st Round Pick,"$94,738,170 "
